Company,Brand / Division,Role Title,Req #,Role Family,Lane,Application Date,Outcome Date,Status,Stage Reached,Recruiter Contact,Hiring Manager Contact,Resume Version,Degree Requirement,Industry Fit,Title Similarity,Substantive Fit,ATS / Keyword Fit,Outcome / Feedback,Timing / Notes,Next Learning
PVH,Calvin Klein,"Director, Strategy Operations",,Strategy / Operations,Pivot,,2026-08-02,Rejected,Application / Resume Screen,None,None,,,,,,,Generic rejection: qualifications assessed against job requirements and other candidates; not selected for interview.,"Rejection received 2026-08-02 at approximately 3:49 AM on a weekend. We discussed possible automated/ATS processing, but this is only a hypothesis.",Count as an early test of the repositioned strategy/operations resume; do not infer cause from one rejection.
ADP,,"Director Strategy, Operations & Transformation",277734,Strategy / Operations / Transformation,Pivot,,2026-08-03,Rejected,Application / Resume Screen,None,None,,,,,,,Generic rejection: moved forward with candidates whose background and experience more closely aligned with the role.,No recruiter or hiring-manager conversation mentioned.,Use as another datapoint for how the repositioned resume performs in strategy/operations/transformation roles.
Amtrak,,"Director of Technology, Customer Engagement Platforms - Washington DC, Philadelphia, Remote Optional",,Technology Leadership / Customer Experience Platforms,Hybrid,,2026-08-04,Rejected,Application / Resume Screen,None,None,New Resume V1,"Bachelor's or equivalent combination of education, training and/or relevant experience",Strong — travel/customer platforms,High,High,,"Generic rejection: after reviewing the application, Amtrak decided to pursue other candidates; no specific reason provided.","High-fit role (~9.2 assessment) that did not clear initial screening. Applied with V1 of the newly repositioned resume, not the older engineering-centric resume.",Track as a high-substantive-fit screen rejection; do not infer cause without feedback.
Confidential global multi-billion dollar enterprise,,Director of Customer Experience,,Customer Experience / Strategic Operations / Business Transformation,Pivot,2026-08-04,,Applied,Application / Resume Screen,None,None,Current Operations & Technology Resume,"Bachelor's degree in Marketing, Business, or related discipline required",Moderate — B2B/B2B2C; industrial/manufacturing preferred,Moderate,High,,,"Confidential executive search in Philadelphia. Strong mission fit around enterprise CX, journey architecture, VoC, governance, loyalty, and matrixed leadership.",Useful test of whether the repositioned resume can open broader enterprise CX/operations leadership roles outside technology-led titles.
Comcast,,"Director, Shield Services Product Strategy & GTM",R439543,Product Strategy / GTM / Operations,Pivot,,2026-08-05,Rejected,Application / Resume Screen,None,None,Unknown — strategy/operations resume version not recalled,,Strong — telecom / digital products / customer technology,Moderate,High,,Generic rejection: applications were particularly strong; not selected to move forward. No specific feedback on qualifications.,Rejection received 2026-08-05. No recruiter or hiring-manager conversation mentioned.,"Fourth tracked application/resume-screen rejection. Continue treating the strategy/operations pivot as an early sample; resume version for this application is unknown, so do not use this row to compare performance by resume version."
ClickUp,,"Director, CX Operations",,Customer Experience / Operations,Pivot,,2026-08-06,Rejected,Application / Resume Screen,None,None,,,,,,,"Positive but generic rejection: ClickUp said the team was impressed by the background and experiences shared, but after review chose to move forward with other candidates for the Director, CX Operations role.",Rejection received 2026-08-06. Email cited a significant number of qualified applicants and encouraged staying connected; no specific reason for rejection was provided.,Count as another Pivot-lane application-screen outcome. The positive wording is encouraging but should not be treated as individualized feedback without further evidence.
CSL,,"Director, Agentic Software Development",,Software Engineering / AI / Agentic Development,Technology,,2026-08-07,Rejected,Application / Resume Screen,None,None,Tech ATS Resume,,Moderate — life sciences; technology leadership role,High,High,,"Generic rejection: after review, CSL decided not to proceed with the candidacy; no specific reason or feedback provided.","Rejection received 2026-08-07. This role was in the tech-resume review queue as APPLIED, so classify this as a Technology-lane / tech-resume outcome.","Count against the Technology lane, not the operations/strategy pivot. One screen rejection does not change the current dual-track approach."
Oscar Health,,"Director, Business Operations & Strategy",,Business Operations / Strategy,Pivot,,2026-08-10,Rejected,Application / Resume Screen,None,None,Operations Pivot Resume (Oscar version),,Strong — healthcare / tech-enabled consumer business,High,High,,Generic rejection: Oscar said it decided to proceed with candidates who were a closer match for the role; no specific feedback was provided.,"Rejection received 2026-08-10. This was one of the stronger-fit Pivot roles we identified, specifically aligned with the business operations / strategy repositioning.","Treat as a meaningful high-fit Pivot-lane screen rejection, but not evidence that the pivot is wrong. Continue tracking whether high-fit strategy/operations roles are failing at resume screen versus generating conversations."
Genius AI,GlossGenius,"Senior Strategy & Operations Manager, Customer Success",,Strategy / Operations / Customer Success,Pivot,,2026-08-11,Rejected,Application / Resume Screen,None,None,,,Strong — AI/SaaS/customer success,Moderate,High,,Generic rejection: Genius AI said it would not move forward after reviewing the profile; no specific reason or individualized feedback provided.,Rejection received 2026-08-11 at 11:43 AM EDT. No recruiter or hiring-manager conversation mentioned.,Count as another Pivot-lane application-screen rejection. This adds to the early evidence that the broader strategy/operations pivot is not yet consistently clearing resume screens; continue evaluating presentation/positioning rather than inferring a single cause.
NiCE,,"Director, Strategic Initiatives",,Strategic Initiatives / Strategy / Transformation,Pivot,,2026-08-12,Rejected,Application / Resume Screen,None,None,,,,High,High,,Generic rejection: NiCE said competition was fierce and it decided to move forward with other candidates; no specific or individualized feedback was provided.,Rejection received 2026-08-12. No recruiter or hiring-manager conversation mentioned. The role title is closely aligned with the strategy/transformation pivot being tested.,"Count as another meaningful Pivot-lane application-screen rejection. Added to the two-week experiment, this strengthens the emerging signal that the current pivot positioning is not consistently clearing resume screens; reassess presentation/positioning before relying on additional volume alone."
